opening_name,line_count,eco_values,representative_pgn,representative_uci,raw_tactical_density,raw_quiet_position_density,raw_king_safety_risk,raw_early_castling_tendency,raw_opposite_side_castling_tendency,raw_middlegame_complexity,raw_pawn_structure_sharpness,raw_material_imbalance,raw_endgame_likelihood_proxy,raw_white_tactical_density,raw_white_quiet_position_density,raw_white_king_safety_risk,raw_white_early_castling_tendency,raw_white_opposite_side_castling_tendency,raw_white_middlegame_complexity,raw_white_pawn_structure_sharpness,raw_white_material_imbalance,raw_white_endgame_likelihood_proxy,raw_black_tactical_density,raw_black_quiet_position_density,raw_black_king_safety_risk,raw_black_early_castling_tendency,raw_black_opposite_side_castling_tendency,raw_black_middlegame_complexity,raw_black_pawn_structure_sharpness,raw_black_material_imbalance,raw_black_endgame_likelihood_proxy,tactical_density,quiet_position_density,king_safety_risk,early_castling_tendency,opposite_side_castling_tendency,middlegame_complexity,pawn_structure_sharpness,material_imbalance,endgame_likelihood_proxy,white_tactical_density,white_quiet_position_density,white_king_safety_risk,white_early_castling_tendency,white_opposite_side_castling_tendency,white_middlegame_complexity,white_pawn_structure_sharpness,white_material_imbalance,white_endgame_likelihood_proxy,black_tactical_density,black_quiet_position_density,black_king_safety_risk,black_early_castling_tendency,black_opposite_side_castling_tendency,black_middlegame_complexity,black_pawn_structure_sharpness,black_material_imbalance,black_endgame_likelihood_proxy,raw_final_structure_entropy,final_structure_entropy,raw_structure_diversity,structure_diversity,structure_distribution
Colle System,3,A04;A40,1. d4 g6 2. Nf3 Bg7 3. e3 c5 4. Bd3 cxd4 5. Nxd4 Qa5+,d2d4 g7g6 g1f3 f8g7 e2e3 c7c5 f1d3 c5d4 f3d4 d8a5,0.321425,0.840241,0.023,0.5525,0.0,0.39421,0.209375,0.048125,0.547534,0.165451,0.93828,0.023,0.585,0.0,0.39421,0.2,0.125,0.577377,0.277373,0.758379,0.023,0.52,0.0,0.39421,0.15,0.125,0.54871,0.829932,0.068027,0.081633,0.877551,0.204082,0.666667,0.598639,0.85034,0.156463,0.714286,0.156463,0.176871,0.911565,0.204082,0.666667,0.659864,0.857143,0.197279,0.931973,0.013605,0.180272,0.768707,0.204082,0.666667,0.602041,0.857143,0.129252,1.0,1.0,1.0,1.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1,""0|0|0|0|0|0|2|2|0|1|1|0|0"":1,""0|0|1|0|0|0|2|2|0|1|1|0|0"":1}"
Creepy Crawly Formation,1,A00,1. h3 d5 2. a3 e5,h2h3 d7d5 a2a3 e7e5,0.009273,0.984125,0.029,0.4225,0.0,0.327006,0.05,0.0,0.615197,0.002541,0.988529,0.029,0.4225,0.0,0.327006,0.0375,0.0,0.616341,0.009145,0.987966,0.029,0.4225,0.0,0.327006,0.0375,0.0,0.615219,0.193878,0.42517,0.578231,0.091837,0.204082,0.013605,0.251701,0.231293,0.707483,0.054422,0.503401,0.62585,0.146259,0.204082,0.013605,0.255102,0.231293,0.727891,0.251701,0.438776,0.690476,0.132653,0.204082,0.013605,0.258503,0.231293,0.653061,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1}"
Czech Defense,1,B07,1. e4 d6 2. d4 Nf6 3. Nc3 c6,e2e4 d7d6 d2d4 g8f6 b1c3 c7c6,0.008727,0.971973,0.025,0.50375,0.4125,0.387,0.05,0.0,0.615021,0.004146,0.980195,0.025,0.4875,0.4125,0.387,0.0375,0.0,0.615799,0.010813,0.944328,0.023,0.52,0.4125,0.387,0.0375,0.0,0.614966,0.173469,0.278912,0.183673,0.714286,0.972789,0.619048,0.251701,0.231293,0.680272,0.197279,0.306122,0.302721,0.615646,0.972789,0.619048,0.255102,0.231293,0.693878,0.265306,0.190476,0.180272,0.768707,0.972789,0.619048,0.258503,0.231293,0.639456,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1}"
Danish Gambit,1,C21,1. e4 e5 2. d4 exd4 3. c3,e2e4 e7e5 d2d4 e5d4 c2c3,0.120242,0.981295,0.029,0.4225,0.0,0.375378,0.23125,0.06125,0.523143,0.0171,0.986252,0.029,0.4225,0.0,0.375378,0.15,0.15,0.540677,0.166234,0.986252,0.029,0.4225,0.0,0.375378,0.25,0.15,0.515324,0.557823,0.340136,0.578231,0.091837,0.204082,0.517007,0.659864,0.891156,0.068027,0.360544,0.363946,0.62585,0.146259,0.204082,0.517007,0.605442,0.897959,0.095238,0.727891,0.346939,0.690476,0.132653,0.204082,0.517007,0.727891,0.897959,0.047619,0.0,0.0,0.0,0.0,"{""0|0|0|1|0|0|2|2|0|1|1|0|0"":1}"
Danish Gambit Accepted,5,C21,1. e4 e5 2. d4 exd4 3. c3 dxc3 4. Bc4 cxb2 5. Bxb2 Qe7,e2e4 e7e5 d2d4 e5d4 c2c3 d4c3 f1c4 c3b2 c1b2 d8e7,0.441758,0.842298,0.029,0.4875,0.0825,0.501682,0.3625,0.1225,0.413373,0.401021,0.674254,0.029,0.5005,0.0825,0.501682,0.3375,0.3,0.420598,0.260133,0.85918,0.029,0.4745,0.0825,0.501682,0.3125,0.3,0.447498,0.952381,0.081633,0.578231,0.588435,0.493197,0.993197,0.993197,0.969388,0.0,0.986395,0.006803,0.62585,0.663265,0.493197,0.993197,1.0,0.989796,0.0,0.911565,0.102041,0.690476,0.5,0.493197,0.993197,0.986395,0.989796,0.006803,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|1|0|0|2|2|0|2|1|0|0"":1,""1|0|0|0|0|1|2|2|0|3|1|0|0"":4}"
Danish Gambit Declined,1,C21,1. e4 e5 2. d4 exd4 3. c3 d5,e2e4 e7e5 d2d4 e5d4 c2c3 d7d5,0.652,0.48515,0.029,0.4225,0.0,0.582487,0.29375,0.06125,0.42948,0.466955,0.535551,0.029,0.4225,0.0,0.582487,0.2125,0.15,0.460938,0.263621,0.806151,0.029,0.4225,0.0,0.582487,0.3125,0.15,0.495505,1.0,0.0,0.578231,0.091837,0.204082,1.0,0.768707,0.891156,0.013605,1.0,0.0,0.62585,0.146259,0.204082,1.0,0.680272,0.897959,0.013605,0.918367,0.034014,0.690476,0.132653,0.204082,1.0,0.986395,0.897959,0.013605,0.0,0.0,0.0,0.0,"{""0|0|0|1|0|0|2|2|0|1|1|0|0"":1}"
Dresden Opening,1,C44,1. e4 e5 2. Nf3 Nc6 3. c4 Nf6 4. Nxe5,e2e4 e7e5 g1f3 b8c6 c2c4 g8f6 f3e5,0.464015,0.804848,0.023,0.52,0.0,0.344707,0.15,0.06125,0.474141,0.368081,0.828697,0.023,0.52,0.0,0.344707,0.1,0.15,0.49045,0.188914,0.886747,0.023,0.52,0.0,0.344707,0.15,0.15,0.520909,0.986395,0.027211,0.081633,0.789116,0.204082,0.176871,0.554422,0.891156,0.020408,0.959184,0.054422,0.176871,0.755102,0.204082,0.176871,0.547619,0.897959,0.027211,0.789116,0.115646,0.180272,0.768707,0.204082,0.176871,0.602041,0.897959,0.061224,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|2|0|0|1|0|0"":1}"
Duras Gambit,1,B00,1. e4 f5,e2e4 f7f5,0.246818,0.985752,0.029,0.4225,0.3575,0.34349,0.05,0.02625,0.56996,0.168817,0.989763,0.029,0.4225,0.3575,0.34349,0.0375,0.05,0.58322,0.123817,0.989763,0.029,0.4225,0.3575,0.34349,0.0375,0.05,0.59087,0.734694,0.537415,0.578231,0.091837,0.880952,0.156463,0.251701,0.629252,0.217687,0.727891,0.598639,0.62585,0.146259,0.880952,0.156463,0.255102,0.622449,0.231293,0.653061,0.557823,0.690476,0.132653,0.880952,0.156463,0.258503,0.622449,0.258503,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1}"
Dutch Defense,5,A80,1. d4 f5 2. h3 Nf6 3. g4,d2d4 f7f5 h2h3 g8f6 g2g4,0.023682,0.996919,0.029,0.440917,0.143,0.347013,0.05,0.0,0.617483,0.003985,0.997786,0.029,0.4485,0.143,0.347013,0.0375,0.0,0.617741,0.024819,0.997786,0.029,0.433333,0.143,0.347013,0.0375,0.0,0.617608,0.292517,1.0,0.578231,0.278912,0.591837,0.190476,0.251701,0.231293,0.959184,0.190476,1.0,0.62585,0.414966,0.591837,0.190476,0.255102,0.231293,0.945578,0.333333,1.0,0.690476,0.261905,0.591837,0.190476,0.258503,0.231293,0.918367,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":5}"
Döry Defense,1,A46,1. d4 Nf6 2. Nf3 Ne4,d2d4 g8f6 g1f3 f6e4,0.001091,0.996651,0.023,0.52,0.0,0.368238,0.05,0.0,0.618472,0.002611,0.997397,0.023,0.52,0.0,0.368238,0.0375,0.0,0.618213,0.002798,0.996978,0.023,0.52,0.0,0.368238,0.0375,0.0,0.618182,0.006803,0.993197,0.081633,0.789116,0.204082,0.394558,0.251701,0.231293,0.993197,0.07483,0.993197,0.176871,0.755102,0.204082,0.394558,0.255102,0.231293,0.972789,0.105442,0.962585,0.180272,0.768707,0.204082,0.394558,0.258503,0.231293,0.952381,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1}"
East Indian Defense,1,A48,1. d4 Nf6 2. Nf3 g6,d2d4 g8f6 g1f3 g7g6,0.004364,0.996413,0.023,0.52,0.0,0.360836,0.05,0.0,0.61722,0.002611,0.996978,0.023,0.52,0.0,0.360836,0.0375,0.0,0.617517,0.002611,0.996978,0.023,0.52,0.0,0.360836,0.0375,0.0,0.617517,0.088435,0.979592,0.081633,0.789116,0.204082,0.292517,0.251701,0.231293,0.938776,0.07483,0.952381,0.176871,0.755102,0.204082,0.292517,0.255102,0.231293,0.931973,0.044218,0.962585,0.180272,0.768707,0.204082,0.292517,0.258503,0.231293,0.911565,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1}"
Elephant Gambit,4,C40,1. e4 e5 2. Nf3 d5 3. Nxe5 dxe4 4. Bc4 Qg5,e2e4 e7e5 g1f3 d7d5 f3e5 d5e4 f1c4 d8g5,0.281174,0.860649,0.029,0.50375,0.103125,0.401258,0.2625,0.041563,0.541408,0.282259,0.864365,0.023,0.544375,0.103125,0.401258,0.259375,0.1125,0.545799,0.134016,0.981665,0.029,0.463125,0.103125,0.401258,0.23125,0.1125,0.556482,0.761905,0.102041,0.578231,0.714286,0.537415,0.727891,0.751701,0.843537,0.14966,0.897959,0.088435,0.176871,0.863946,0.537415,0.727891,0.755102,0.85034,0.129252,0.666667,0.306122,0.690476,0.431973,0.537415,0.727891,0.693878,0.85034,0.142857,0.75,0.75,0.75,0.75,"{""0|0|0|0|0|0|1|1|0|0|0|0|1"":1,""0|0|0|0|0|0|2|2|0|1|1|0|0"":1,""0|0|1|0|0|0|2|2|0|1|1|0|0"":2}"
English Defense,5,A40,1. c4 e6 2. d4 b6 3. Nc3 Bb7 4. e4 f5 5. exf5 Nf6,c2c4 e7e6 d2d4 b7b6 b1c3 c8b7 e2e4 f7f5 e4f5 g8f6,0.317636,0.990269,0.029,0.4485,0.0,0.489941,0.05,0.02625,0.613668,0.245803,0.992682,0.029,0.4355,0.0,0.489941,0.0375,0.05,0.614444,0.179136,0.987966,0.029,0.4615,0.0,0.489941,0.0375,0.05,0.600116,0.823129,0.758503,0.578231,0.306122,0.204082,0.986395,0.251701,0.629252,0.653061,0.857143,0.778912,0.62585,0.319728,0.204082,0.986395,0.255102,0.622449,0.585034,0.761905,0.438776,0.690476,0.411565,0.204082,0.986395,0.258503,0.622449,0.353741,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":4,""0|0|1|0|0|0|2|2|0|1|1|0|0"":1}"
English Opening,5,A10,1. c4 g6 2. e4 e5,c2c4 g7g6 e2e4 e7e5,0.080773,0.989757,0.029,0.43225,0.143,0.336867,0.05,0.02625,0.61538,0.057063,0.99119,0.029,0.4225,0.143,0.336867,0.0375,0.05,0.615458,0.040397,0.99119,0.029,0.442,0.143,0.336867,0.0375,0.05,0.615458,0.414966,0.734694,0.578231,0.234694,0.591837,0.108844,0.251701,0.629252,0.727891,0.44898,0.693878,0.62585,0.146259,0.591837,0.108844,0.255102,0.622449,0.666667,0.401361,0.659864,0.690476,0.323129,0.591837,0.108844,0.258503,0.622449,0.680272,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":4,""0|0|0|0|0|0|1|1|0|0|0|0|1"":1}"
English Orangutan,2,A15,1. c4 Nf6 2. Nf3 g6 3. b4,c2c4 g8f6 g1f3 g7g6 b2b4,0.005284,0.989444,0.029,0.495625,0.0,0.330982,0.05,0.0,0.61699,0.002654,0.992489,0.029,0.47125,0.0,0.330982,0.0375,0.0,0.617382,0.002654,0.992489,0.023,0.52,0.0,0.330982,0.0375,0.0,0.618057,0.108844,0.70068,0.578231,0.639456,0.204082,0.054422,0.251701,0.231293,0.918367,0.088435,0.761905,0.62585,0.513605,0.204082,0.054422,0.255102,0.231293,0.918367,0.068027,0.741497,0.180272,0.768707,0.204082,0.054422,0.258503,0.231293,0.945578,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":2}"
Englund Gambit,5,A40,1. d4 e5 2. dxe5 Nc6 3. Nf3 Bc5,d2d4 e7e5 d4e5 b8c6 g1f3 f8c5,0.13103,0.984125,0.029,0.47125,0.1595,0.396449,0.23125,0.035,0.528217,0.121742,0.987966,0.029,0.4615,0.1595,0.396449,0.25,0.1,0.528101,0.227827,0.987966,0.029,0.481,0.1595,0.396449,0.15,0.1,0.528777,0.619048,0.42517,0.578231,0.489796,0.659864,0.687075,0.659864,0.785714,0.088435,0.639456,0.445578,0.62585,0.465986,0.659864,0.687075,0.731293,0.785714,0.068027,0.85034,0.438776,0.690476,0.530612,0.659864,0.687075,0.602041,0.785714,0.07483,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1,""0|0|1|0|0|0|2|2|0|1|1|0|0"":4}"
Englund Gambit Declined,5,A40,1. d4 e5 2. d5 Bc5 3. e4 Qh4,d2d4 e7e5 d4d5 f8c5 e2e4 d8h4,0.229727,0.987197,0.029,0.442,0.0,0.383429,0.05,0.02625,0.588426,0.117096,0.990324,0.029,0.442,0.0,0.383429,0.0375,0.05,0.608607,0.300429,0.990324,0.029,0.442,0.0,0.383429,0.0375,0.05,0.583543,0.721088,0.605442,0.578231,0.289116,0.204082,0.571429,0.251701,0.629252,0.312925,0.612245,0.62585,0.62585,0.363946,0.204082,0.571429,0.255102,0.622449,0.517007,0.952381,0.588435,0.690476,0.323129,0.204082,0.571429,0.258503,0.622449,0.22449,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":4,""0|0|0|0|0|0|1|1|0|0|0|0|1"":1}"
Formation,2,A00,1. a3 e5 2. b3 d5 3. c3 Nf6 4. d3 Nc6 5. e3 Bd6 6. f3 O-O 7. g3,a2a3 e7e5 b2b3 d7d5 c2c3 g8f6 d2d3 b8c6 e2e3 f8d6 f2f3 e8g8 g2g3,0.016212,0.978401,0.029,0.735625,0.0,0.40317,0.05,0.0,0.615229,0.007329,0.986284,0.029,0.47125,0.0,0.40317,0.0375,0.0,0.616686,0.031885,0.958778,0.0,1.0,0.0,0.40317,0.0375,0.0,0.618534,0.265306,0.312925,0.578231,0.979592,0.204082,0.734694,0.251701,0.231293,0.714286,0.265306,0.387755,0.62585,0.513605,0.204082,0.734694,0.255102,0.231293,0.77551,0.380952,0.251701,0.0,1.0,0.204082,0.734694,0.258503,0.231293,0.965986,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":2}"
Four Knights Game,5,C47,1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. g3 d5 5. exd5 Nxd5 6. Bg2 Nxc3 7. bxc3,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 g2g3 d7d5 e4d5 f6d5 f1g2 d5c3 b2c3,0.292833,0.956932,0.023,0.52975,0.0,0.375096,0.3,0.06125,0.603445,0.186468,0.959232,0.023,0.5395,0.0,0.375096,0.2875,0.15,0.604139,0.190422,0.959232,0.023,0.52,0.0,0.375096,0.2875,0.15,0.604139,0.782313,0.244898,0.081633,0.833333,0.204082,0.496599,0.87415,0.891156,0.489796,0.782313,0.231293,0.176871,0.853741,0.204082,0.496599,0.87415,0.897959,0.442177,0.795918,0.258503,0.180272,0.768707,0.204082,0.496599,0.863946,0.897959,0.462585,0.590436,0.590436,0.590436,0.590436,"{""0|0|0|0|0|0|1|1|0|0|0|0|1"":3,""0|0|0|0|0|0|1|2|0|0|1|0|0"":1,""1|0|1|0|0|0|3|2|0|2|1|0|0"":1}"
French Defense,5,C00,1. e4 e6 2. d4 d5 3. Be3,e2e4 e7e6 d2d4 d7d5 c1e3,0.094909,0.984939,0.029,0.429,0.0715,0.367321,0.3,0.02625,0.60021,0.05717,0.988989,0.029,0.4355,0.0715,0.367321,0.2875,0.05,0.614964,0.092137,0.988864,0.029,0.4225,0.0715,0.367321,0.2875,0.05,0.606778,0.44898,0.493197,0.578231,0.207483,0.431973,0.380952,0.87415,0.629252,0.421769,0.455782,0.55102,0.62585,0.319728,0.431973,0.380952,0.87415,0.622449,0.619048,0.564626,0.513605,0.690476,0.132653,0.431973,0.380952,0.863946,0.622449,0.530612,0.418166,0.418166,0.418166,0.418166,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":3,""0|0|0|0|0|0|1|1|0|0|0|0|1"":2}"
Fried Fox Defense,1,B00,1. e4 f6 2. d4 Kf7,e2e4 f7f6 d2d4 e8f7,0.099818,0.987379,0.17,0.21125,0.0,0.35138,0.05,0.0,0.579438,0.092897,0.987966,0.029,0.4225,0.0,0.35138,0.0375,0.0,0.601764,0.002853,0.99156,0.17,0.0,0.0,0.35138,0.0375,0.0,0.595922,0.47619,0.629252,0.979592,0.003401,0.204082,0.238095,0.251701,0.231293,0.258503,0.55102,0.445578,0.62585,0.146259,0.204082,0.238095,0.255102,0.231293,0.394558,0.122449,0.697279,0.986395,0.0,0.204082,0.238095,0.258503,0.231293,0.292517,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1}"
Global Opening,1,A00,1. h3 e5 2. a3,h2h3 e7e5 a2a3,0.007803,0.986064,0.029,0.4225,0.0,0.330874,0.05,0.0,0.615743,0.002195,0.990009,0.029,0.4225,0.0,0.330874,0.0375,0.0,0.616697,0.004263,0.990009,0.029,0.4225,0.0,0.330874,0.0375,0.0,0.616345,0.156463,0.564626,0.578231,0.091837,0.204082,0.047619,0.251701,0.231293,0.768707,0.027211,0.619048,0.62585,0.146259,0.204082,0.047619,0.255102,0.231293,0.782313,0.190476,0.578231,0.690476,0.132653,0.204082,0.047619,0.258503,0.231293,0.761905,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1}"
Goldsmith Defense,2,B00,1. e4 h5 2. d4 Nf6,e2e4 h7h5 d2d4 g8f6,0.015925,0.986972,0.029,0.436041,0.17875,0.348356,0.05,0.0,0.613165,0.01047,0.989314,0.029,0.4225,0.17875,0.348356,0.0375,0.0,0.613904,0.004637,0.991111,0.029,0.449584,0.17875,0.348356,0.0375,0.0,0.614737,0.258503,0.591837,0.578231,0.272109,0.70068,0.210884,0.251701,0.231293,0.612245,0.319728,0.571429,0.62585,0.146259,0.70068,0.210884,0.255102,0.231293,0.571429,0.197279,0.653061,0.690476,0.367347,0.70068,0.210884,0.258503,0.231293,0.62585,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":2}"
Grob Opening,5,A00,1. g4 g5 2. f4,g2g4 g7g5 f2f4,0.096136,0.987473,0.029,0.427917,0.0715,0.33288,0.05,0.02625,0.615423,0.098047,0.9886,0.029,0.433333,0.0715,0.33288,0.0375,0.05,0.615352,0.062182,0.9886,0.029,0.4225,0.0715,0.33288,0.0375,0.05,0.615352,0.462585,0.646259,0.578231,0.183673,0.431973,0.088435,0.251701,0.629252,0.734694,0.564626,0.510204,0.62585,0.302721,0.431973,0.088435,0.255102,0.622449,0.659864,0.469388,0.489796,0.690476,0.132653,0.431973,0.088435,0.258503,0.622449,0.666667,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":5}"
Grünfeld Defense,5,A56;D80,1. d4 Nf6 2. c4 c5 3. e3 g6 4. Nc3 Bg7 5. Nf3 O-O 6. Be2 cxd4 7. exd4 d5 8. O-O Nc6,d2d4 g8f6 c2c4 c7c5 e2e3 g7g6 b1c3 f8g7 g1f3 e8g8 f1e2 c5d4 e3d4 d7d5 e1g1 b8c6,0.359848,0.886061,0.027667,0.598666,0.3135,0.425081,0.3,0.035,0.567939,0.384559,0.861788,0.027667,0.581334,0.3135,0.425081,0.2875,0.1,0.562247,0.170568,0.949613,0.023,0.616,0.3135,0.425081,0.2875,0.1,0.600347,0.897959,0.122449,0.255102,0.931973,0.843537,0.891156,0.87415,0.785714,0.204082,0.972789,0.081633,0.346939,0.904762,0.843537,0.891156,0.87415,0.785714,0.170068,0.748299,0.204082,0.180272,0.928571,0.843537,0.891156,0.863946,0.785714,0.367347,0.590436,0.590436,0.590436,0.590436,"{""0|0|0|0|0|0|1|1|0|0|0|0|1"":3,""0|0|0|0|0|0|2|2|0|1|1|0|1"":1,""0|0|0|1|0|0|1|2|0|0|1|0|0"":1}"
Gunderam Defense,1,C40,1. e4 e5 2. Nf3 Qe7,e2e4 e7e5 g1f3 d8e7,0.008848,0.984125,0.025,0.50375,0.4125,0.362658,0.3,0.0,0.604386,0.007331,0.987966,0.023,0.52,0.4125,0.362658,0.2875,0.0,0.604944,0.003771,0.99156,0.025,0.4875,0.4125,0.362658,0.2875,0.0,0.605249,0.183673,0.42517,0.183673,0.714286,0.972789,0.333333,0.87415,0.231293,0.503401,0.272109,0.445578,0.176871,0.755102,0.972789,0.333333,0.87415,0.231293,0.496599,0.166667,0.697279,0.357143,0.571429,0.972789,0.333333,0.863946,0.231293,0.503401,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|1"":1}"
Hippopotamus Defense,2,B00,1. e4 Nh6 2. d4 g6 3. c4 f6,e2e4 g8h6 d2d4 g7g6 c2c4 f7f6,0.051795,0.973786,0.029,0.47125,0.0,0.384239,0.05,0.0,0.612049,0.006496,0.982213,0.029,0.4225,0.0,0.384239,0.0375,0.0,0.616115,0.036496,0.986746,0.023,0.52,0.0,0.384239,0.0375,0.0,0.614604,0.353741,0.285714,0.578231,0.489796,0.204082,0.578231,0.251701,0.231293,0.578231,0.251701,0.312925,0.62585,0.146259,0.204082,0.578231,0.255102,0.231293,0.70068,0.387755,0.37415,0.180272,0.768707,0.204082,0.578231,0.258503,0.231293,0.612245,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":2}"
Horwitz Defense,2,A40,1. d4 e6 2. c4 e5,d2d4 e7e6 c2c4 e6e5,0.069409,0.996502,0.029,0.4225,0.0,0.36166,0.05,0.019688,0.611424,0.002567,0.997135,0.029,0.4225,0.0,0.36166,0.0375,0.0375,0.615308,0.079932,0.991503,0.029,0.4225,0.0,0.36166,0.0375,0.0375,0.605824,0.387755,0.986395,0.578231,0.091837,0.204082,0.312925,0.251701,0.517007,0.571429,0.061224,0.979592,0.62585,0.146259,0.204082,0.312925,0.255102,0.517007,0.653061,0.503401,0.680272,0.690476,0.132653,0.204082,0.312925,0.258503,0.517007,0.517007,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":2}"
Hungarian Opening,5,A00,1. g3 Nc6 2. Nc3 d5 3. d4 e5 4. dxe5 d4 5. Ne4 f5,g2g3 b8c6 b1c3 d7d5 d2d4 e7e5 d4e5 d5d4 c3e4 f7f5,0.118409,0.986979,0.029,0.4745,0.0,0.414787,0.05,0.02625,0.616702,0.055804,0.988345,0.029,0.494,0.0,0.414787,0.0375,0.05,0.617353,0.053304,0.994078,0.029,0.455,0.0,0.414787,0.0375,0.05,0.617213,0.544218,0.598639,0.578231,0.527211,0.204082,0.85034,0.251701,0.629252,0.857143,0.442177,0.482993,0.62585,0.642857,0.204082,0.85034,0.255102,0.622449,0.911565,0.44898,0.829932,0.690476,0.387755,0.204082,0.85034,0.258503,0.622449,0.877551,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":4,""0|0|1|0|1|0|2|2|0|1|1|0|0"":1}"
Indian Defense,5,A43;A45,1. d4 Nf6 2. Nf3 c5 3. d5 b5,d2d4 g8f6 g1f3 c7c5 d4d5 b7b5,0.017636,0.994764,0.029,0.4875,0.2255,0.355656,0.05,0.0,0.616986,0.004269,0.995193,0.029,0.455,0.2255,0.355656,0.0375,0.0,0.616933,0.040064,0.995193,0.023,0.52,0.2255,0.355656,0.0375,0.0,0.617176,0.272109,0.877551,0.578231,0.588435,0.77551,0.265306,0.251701,0.231293,0.911565,0.204082,0.863946,0.62585,0.442177,0.77551,0.265306,0.255102,0.231293,0.823129,0.394558,0.85034,0.180272,0.768707,0.77551,0.265306,0.258503,0.231293,0.870748,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":4,""0|0|0|0|0|0|1|1|0|0|0|0|1"":1}"
Irish Gambit,1,C44,1. e4 e5 2. Nf3 Nc6 3. Nxe5,e2e4 e7e5 g1f3 b8c6 f3e5,0.062485,0.981295,0.025,0.50375,0.4125,0.361435,0.15,0.06125,0.536154,0.009773,0.986252,0.023,0.52,0.4125,0.361435,0.1,0.15,0.545415,0.069748,0.987804,0.025,0.4875,0.4125,0.361435,0.15,0.15,0.534919,0.37415,0.340136,0.183673,0.714286,0.972789,0.29932,0.554422,0.891156,0.136054,0.312925,0.363946,0.176871,0.755102,0.972789,0.29932,0.547619,0.897959,0.122449,0.493197,0.408163,0.357143,0.571429,0.972789,0.29932,0.602041,0.897959,0.102041,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|2|0|0|1|0|0"":1}"
Italian Game,5,C50,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. O-O Nf6 5. c3,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 c2c3,0.303833,0.812032,0.025,0.655,0.2475,0.438233,0.3,0.02625,0.57981,0.272081,0.784547,0.017,0.7705,0.2475,0.438233,0.2875,0.05,0.581953,0.193748,0.982557,0.025,0.5395,0.2475,0.438233,0.2875,0.05,0.603607,0.816327,0.040816,0.183673,0.959184,0.802721,0.92517,0.87415,0.629252,0.265306,0.884354,0.034014,0.034014,0.972789,0.802721,0.92517,0.87415,0.622449,0.22449,0.802721,0.319728,0.357143,0.891156,0.802721,0.92517,0.863946,0.622449,0.435374,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|1"":5}"
